Station,Year,Month,Day,Maximum temparature (celcius),Minimum temparature (celcius),Rainfall (millimetres)
AU_QLD_098,2006,01,01,27,-2,266.2
AU_QLD_098,2006,01,02,20,7,364.4
AU_QLD_098,2006,01,03,17,-5,86.6
AU_QLD_098,2006,01,04,26,15,334.5
AU_QLD_098,2006,01,05,15,1,398.7
AU_QLD_098,2006,01,06,18,-2,8.1
AU_QLD_098,2006,01,07,32,17,326.1
AU_QLD_098,2006,01,08,15,4,143.6
AU_QLD_098,2006,01,09,9,-4,326.1
AU_QLD_098,2006,01,10,7,-5,285.6
AU_QLD_098,2006,01,11,1,-5,327.0
AU_QLD_098,2006,01,12,9,0,250.4
AU_QLD_098,2006,01,13,7,1,83.0
AU_QLD_098,2006,01,14,23,2,292.0
AU_QLD_098,2006,01,15,23,10,392.0
AU_QLD_098,2006,01,16,36,13,199.0
AU_QLD_098,2006,01,17,29,12,117.0
AU_QLD_098,2006,01,18,31,2,197.7
AU_QLD_098,2006,01,19,7,-4,284.3
AU_QLD_098,2006,01,20,38,-1,288.6
AU_QLD_098,2006,01,21,6,-1,334.4
AU_QLD_098,2006,01,22,3,-4,266.0
AU_QLD_098,2006,01,23,29,21,257.5
AU_QLD_098,2006,01,24,34,5,139.4
AU_QLD_098,2006,01,25,0,-5,381.1
AU_QLD_098,2006,01,26,32,15,218.6
AU_QLD_098,2006,01,27,14,2,202.7
AU_QLD_098,2006,01,28,29,9,98.3
AU_QLD_098,2006,01,29,7,-3,99.7
AU_QLD_098,2006,01,30,34,1,223.7
AU_QLD_098,2006,01,31,23,7,293.5
AU_QLD_098,2006,02,01,12,4,30.2
AU_QLD_098,2006,02,02,24,-1,160.4
AU_QLD_098,2006,02,03,30,-3,384.6
AU_QLD_098,2006,02,04,11,-2,36.5
AU_QLD_098,2006,02,05,34,14,6.4
AU_QLD_098,2006,02,06,7,-3,181.2
AU_QLD_098,2006,02,07,25,9,22.4
AU_QLD_098,2006,02,08,32,11,344.8
AU_QLD_098,2006,02,09,29,-4,68.8
AU_QLD_098,2006,02,10,9,-3,227.4
AU_QLD_098,2006,02,11,30,4,185.7
AU_QLD_098,2006,02,12,18,-3,272.7
AU_QLD_098,2006,02,13,33,11,192.3
AU_QLD_098,2006,02,14,34,16,185.8
AU_QLD_098,2006,02,15,18,-3,115.4
AU_QLD_098,2006,02,16,13,-3,365.7
AU_QLD_098,2006,02,17,19,2,18.2
AU_QLD_098,2006,02,18,14,8,345.7
AU_QLD_098,2006,02,19,2,-5,155.7
AU_QLD_098,2006,02,20,6,-3,208.0
AU_QLD_098,2006,02,21,39,5,386.3
AU_QLD_098,2006,02,22,11,3,147.5
AU_QLD_098,2006,02,23,34,15,75.3
AU_QLD_098,2006,02,24,1,-5,265.1
AU_QLD_098,2006,02,25,9,-2,234.1
AU_QLD_098,2006,02,26,20,9,232.8
AU_QLD_098,2006,02,27,7,0,42.5
AU_QLD_098,2006,02,28,19,-5,297.6
AU_QLD_098,2006,03,01,6,0,290.4
AU_QLD_098,2006,03,02,14,2,375.1
AU_QLD_098,2006,03,03,22,0,128.1
AU_QLD_098,2006,03,04,25,-3,64.2
AU_QLD_098,2006,03,05,18,10,274.4
AU_QLD_098,2006,03,06,30,14,178.1
AU_QLD_098,2006,03,07,10,-4,264.8
AU_QLD_098,2006,03,08,6,-4,383.5
AU_QLD_098,2006,03,09,35,12,115.0
AU_QLD_098,2006,03,10,24,-3,185.3
AU_QLD_098,2006,03,11,0,-5,41.4
AU_QLD_098,2006,03,12,24,-4,38.0
AU_QLD_098,2006,03,13,28,5,142.7
AU_QLD_098,2006,03,14,33,24,204.8
AU_QLD_098,2006,03,15,5,-4,171.0
AU_QLD_098,2006,03,16,19,8,213.3
AU_QLD_098,2006,03,17,26,15,106.2
AU_QLD_098,2006,03,18,13,2,188.8
AU_QLD_098,2006,03,19,30,6,7.2
AU_QLD_098,2006,03,20,35,17,190.1
AU_QLD_098,2006,03,21,18,-4,64.3
AU_QLD_098,2006,03,22,9,-3,346.0
AU_QLD_098,2006,03,23,14,-5,278.7
AU_QLD_098,2006,03,24,37,-5,273.8
AU_QLD_098,2006,03,25,24,10,361.1
AU_QLD_098,2006,03,26,32,13,277.8
AU_QLD_098,2006,03,27,26,-2,144.8
AU_QLD_098,2006,03,28,13,4,269.5
AU_QLD_098,2006,03,29,8,-3,302.7
AU_QLD_098,2006,03,30,24,9,383.7
AU_QLD_098,2006,03,31,31,12,13.4
AU_QLD_098,2006,04,01,16,0,293.6
AU_QLD_098,2006,04,02,7,1,311.1
AU_QLD_098,2006,04,03,14,8,120.3
AU_QLD_098,2006,04,04,1,-5,231.4
AU_QLD_098,2006,04,05,11,-4,247.8
AU_QLD_098,2006,04,06,26,0,251.5
AU_QLD_098,2006,04,07,21,12,65.6
AU_QLD_098,2006,04,08,22,13,85.1
AU_QLD_098,2006,04,09,34,18,150.0
AU_QLD_098,2006,04,10,20,0,181.2
AU_QLD_098,2006,04,11,10,-3,41.1
AU_QLD_098,2006,04,12,24,14,320.4
AU_QLD_098,2006,04,13,33,21,48.1
AU_QLD_098,2006,04,14,36,-1,380.4
AU_QLD_098,2006,04,15,26,15,98.0
AU_QLD_098,2006,04,16,37,28,144.3
AU_QLD_098,2006,04,17,28,0,183.7
AU_QLD_098,2006,04,18,36,21,152.3
AU_QLD_098,2006,04,19,33,21,363.3
AU_QLD_098,2006,04,20,2,-4,79.2
AU_QLD_098,2006,04,21,26,7,140.8
AU_QLD_098,2006,04,22,34,3,227.2
AU_QLD_098,2006,04,23,19,13,151.7
